url,cliques_organicos,posicao_google,cliques_afiliado,taxa_clique_pct,ganhos_reais,receita_potencial,gap_receita,nivel_prioridade,recomendacao
/,1200,3.2,0,0.0,0.0,960.0,960.0,🔴 ALTA,🚨 Alto tráfego mas ZERO cliques no link afiliado. Verifique se o botão de compra está visível e funcionando.
/melhores-tenis-corrida.html,890,4.3,62,6.97,8.1,667.5,659.4,🔴 ALTA,✅ Boa conversão! Considere aumentar o tráfego com anúncios pagos ou link interno de outras páginas.
/melhor-tenis-corrida.html,670,5.8,45,6.72,5.8,502.5,496.7,🔴 ALTA,✅ Boa conversão! Considere aumentar o tráfego com anúncios pagos ou link interno de outras páginas.
/tenis-ate-500.html,540,6.0,12,2.22,1.4,540.0,538.6,🔴 ALTA,"Taxa abaixo da meta (meta: 5%). Tente adicionar comparação de preços, reviews ou tabela de vantagens."
/mizuno-wave-prophecy-preco.html,480,5.1,38,7.92,4.2,360.0,355.8,🔴 ALTA,✅ Boa conversão! Considere aumentar o tráfego com anúncios pagos ou link interno de outras páginas.
/blog.html,340,9.8,0,0.0,0.0,272.0,272.0,🔴 ALTA,🚨 Alto tráfego mas ZERO cliques no link afiliado. Verifique se o botão de compra está visível e funcionando.
/adidas-ultraboost-preco.html,310,7.4,4,1.29,0.5,279.0,278.5,🔴 ALTA,"Taxa abaixo da meta (meta: 5%). Tente adicionar comparação de preços, reviews ou tabela de vantagens."
/olympikus-corre-3-preco.html,220,8.9,0,0.0,0.0,176.0,176.0,🔴 ALTA,🚨 Alto tráfego mas ZERO cliques no link afiliado. Verifique se o botão de compra está visível e funcionando.
/tenis-pisada-supinada.html,190,11.2,0,0.0,0.0,152.0,152.0,🔴 ALTA,🚨 Alto tráfego mas ZERO cliques no link afiliado. Verifique se o botão de compra está visível e funcionando.
/melhores-tenis-adidas.html,130,14.5,0,0.0,0.0,104.0,104.0,🟡 MÉDIA,🚨 Alto tráfego mas ZERO cliques no link afiliado. Verifique se o botão de compra está visível e funcionando.
/melhores-tenis-mizuno.html,95,16.2,0,0.0,0.0,76.0,76.0,🟡 MÉDIA,🚨 Alto tráfego mas ZERO cliques no link afiliado. Verifique se o botão de compra está visível e funcionando.
/index.html,0,0,0,0.0,0.0,0.0,0,🟢 BAIXA,Página sem tráfego orgânico. Foque em SEO ou crie conteúdo para este URL.
